teks,sumber,sentimen
Rupiah terus melemah terhadap dolar hingga menyentuh Rp 18,Media (Detik),neutral
153 per Senin (8/6/2026),Media (Detik),neutral
Kondisi melemahnya rupiah ini mengingatkan akan masa krisis moneter pada 1998,Media (Detik),neutral
"Pasalnya, nilai tukar rupiah terhadap dolar pada masa itu sempat menyentuh angka tertinggi Rp 16",Media (Detik),neutral
"Padahal pada kurun 1990-an, nilai tukar rupiah berada di kisaran Rp 2",Media (Detik),neutral
000 per dolar Amerika Serikat,Media (Detik),neutral
"Ini berarti pada 1998, pelemahan rupiah bisa mencapai Rp 14",Media (Detik),neutral
"Secara umum, krisis moneter didefinisikan sebagai kondisi terganggunya pasar keuangan",Media (Detik),neutral
"Kondisi ini terjadi akibat krisis finansial Asia pada 1997 yang membuat banyak investor akhirnya menarik modal dari negara berkembang, termasuk Indonesia",Media (Detik),neutral
"SCROLL TO CONTINUE WITH CONTENT Di Indonesia sendiri, krisis ini terpicu juga oleh adanya pergeseran kekuasaan politik dan sosial",Media (Detik),neutral
"Pada masa itu, pergeseran kekuasaan politik memicu timbulnya persoalan utang dan sistem perbankan",Media (Detik),neutral
"Bahkan, dampak krisis tersebut membuat rupiah merosot sangat tajam",Media (Detik),negative
"Pada akhir 1997, kurs rezim Presiden Soeharto mulai naik dari kisaran Rp 2",Media (Detik),neutral
"Kemudian pada awal 1998, kembali naik ke Rp 6",Media (Detik),neutral
000 hingga sempat menyentuh Rp 13,Media (Detik),neutral
"000, demikian dikutip detikFinance",Media (Detik),neutral
"Namun, pada April 1998, turun ke Rp 8",Media (Detik),neutral
"Memasuki Mei 1998, situasi politik dan sosial era rezim Presiden Soeharto memasuki periode kelam",Media (Detik),neutral
"Terjadi penembakan mahasiswa, kerusuhan massa, dan kejatuhan Orde Baru",Media (Detik),neutral
Kondisi tersebut membuat rupiah melemah secara drastik,Media (Detik),neutral
"Puncaknya pada Juni 1998, rupiah menyentuh Rp 16",Media (Detik),neutral
"Berakhirnya era Soeharto, membuat pemerintahan Presiden BJ Habibie dimulai dengan krisis ekonomi terburuk",Media (Detik),neutral
"Kala itu, krisis moneter mengakibatkan inflasi tinggi, harga kebutuhan pokok naik, dan banyak perusahaan bangkrut karena utang luar negeri",Media (Detik),neutral
"Namun, Habibie sanggup membuat ekonomi Indonesia perlahan membaik",Media (Detik),positive
"Dalam buku biografi Bacharudin Jusuf Habibie, nilai tukar rupiah perlahan menguat hingga berada di kisaran Rp 6",Media (Detik),neutral
"Mengutip detikJatim, Habibie melakukan sejumlah upaya untuk menguatkan rupiah, dengan cara: 1",Media (Detik),neutral
Menyelamatkan sektor perbankan dengan restrukturisasi dan rekapitulasi,Media (Detik),neutral
Pemerintah juga membentuk Badan Penyehatan Perbankan Nasional (BPPN) untuk menangani aset dan utang perbankan yang bermasalah,Media (Detik),neutral
Menjamin simpanan masyarakat di bank dengan mempertahankan program blanket guarantee,Media (Detik),neutral
Melanjutkan kerja sama dengan International Monetary Fund (IMF) untuk mempercepat pemulihan ekonomi,Media (Detik),neutral
Indonesia mendapatkan dukungan finansial serta tambahan kepercayaan dari pasar internasional,Media (Detik),neutral
Menekan inflasi dan menjaga distribusi bahan pokok agar harga di pasar tidak melonjak,Media (Detik),neutral
"Dengan cara ini, Habibie berhasil menekan inflasi dari 77% pada 1998 menjadi 2% pada Januari-September 1999",Media (Detik),neutral
Mengembalikan kepercayaan investor dan pasar saham,Media (Detik),neutral
Habibie juga mendorong independensi Bank Indonesia melalui UU Bank Indonesia agar kebijakan moneter lebih profesional dan tidak terlalu dipengaruhi oleh kepentingan politik,Media (Detik),neutral
"Pakar Ekonomi dari Universitas Muhammadiyah Surabaya, Fatkur Huda, mengatakan bahwa nilai tukar rupiah yang melemah terhadap dolar bisa memberi dampak tidak langsung kepada masyarakat",Media (Detik),neutral
"Dalam hal ini, katanya, masyarakat di pedesaan juga akan terdampak",Media (Detik),neutral
"""Nilai tukar rupiah yang menurun tetap memengaruhi harga berbagai kebutuhan pokok karena banyak sektor ekonomi Indonesia masih bergantung pada barang impor dan harga global,"" ucapnya, dikutip dari laman UM Surabaya, Senin (8/6/2026)",Media (Detik),neutral
"Bahkan dampak ini bisa nyata dirasakan oleh kelompok masyarakat seperti pelaku UMKM, nelayan, hingga petani",Media (Detik),neutral
"Mereka akan merasakan adanya kenaikan harga BBM, bahan baku plastik, pupuk, pakan ternak, hingga biaya produksi",Media (Detik),neutral
"Menurut Fatkur, saat bahan baku ada yang naik, pendapatan masyarakat di desa belum tentu meningkat",Media (Detik),neutral
Ini yang akhirnya membuat daya beli masyarakat menurun,Media (Detik),negative
"""Dalam jangka panjang, kondisi ini dapat menurunkan daya beli masyarakat dan memperbesar tekanan ekonomi masyarakat kecil,"" jelasnya",Media (Detik),neutral
"Sementara itu, Pakar Ekonomi Fakultas Ekonomi dan Bisnis (FEB) Universitas Airlangga (Unair), Prof Dr Imron Mawardi S P M Si, menjelaskan bahwa melemahnya rupiah menyebabkan harga barang dan produksi dalam negeri meningkat, yang pada gilirannya memicu inflasi",Media (Detik),neutral
"Namun, menurutnya Indonesia masih memiliki pasar yang besar dan daya tarik yang kuat",Media (Detik),positive
"Dalam hal ini, ia menyoroti peran pemerintah dan Bank Indonesia (BI) dalam menjaga stabilitas rupiah, terutama untuk menjaga kestabilan nilai tukar rupiah",Media (Detik),neutral
"""Pemerintah harus mendorong ekspor dan menarik investasi asing dengan cara yang lebih terstruktur",Media (Detik),neutral
"Sementara BI perlu melakukan intervensi untuk menjaga kestabilan nilai tukar rupiah di jangka pendek,"" tutur Prof Imron, dikutip dari laman resmi Unair",Media (Detik),neutral
Harga emas Antam hari ini mengalami kenaikan dibandingkan perdagangan sebelumnya,Media (Detik),neutral
Harga emas Antam 24 karat naik Rp 5,Media (Detik),neutral
000 per gram menjadi Rp 2,Media (Detik),neutral
"Berdasarkan situs Logam Mulia Antam, Selasa (23/6/2026) satuan harga emas hari ini yang terkecil ukuran 0,5 gram berada di angka Rp 1",Media (Detik),neutral
Sementara harga emas 10 gram dijual dengan harga Rp 26,Media (Detik),neutral
000 dan ukuran emas terbesar yakni 1,Media (Detik),neutral
000 gram (1 kg) dibanderol Rp 2,Media (Detik),neutral
"Jika ditarik dalam sepekan terakhir, harga emas Antam bergerak di kisaran Rp 2",Media (Detik),neutral
"Sementara dalam sebulan terakhir, harga emas masih berada di level Rp 2",Media (Detik),neutral
"SCROLL TO CONTINUE WITH CONTENT  Buyback Emas Sementara itu, buyback harga emas naik sebesar Rp 7",Media (Detik),neutral
000 dan berada di Rp 2,Media (Detik),neutral
"Harga buyback adalah jika Anda ingin menjual emas, maka Antam akan membelinya dengan harga tersebut",Media (Detik),neutral
"Sesuai Peraturan Menteri Keuangan (PMK) Nomor 81 Tahun 2024, setiap transaksi buyback dengan nilai di atas Rp 10",Media (Detik),neutral
"000 akan dikenakan Pajak Penghasilan (PPh) Pasal 22 sebesar 1,5%",Media (Detik),neutral
PPh Pasal 22 tersebut akan dipotong langsung dari total nilai transaksi pada saat pelaksanaan buyback,Media (Detik),neutral
"Rincian Harga Emas Harga emas 0,5 gram: Rp 1",Media (Detik),neutral
500 Harga emas 1 gram: Rp 2,Media (Detik),neutral
000 Harga emas 2 gram: Rp 5,Media (Detik),neutral
000 Harga emas 3 gram: Rp 7,Media (Detik),neutral
000 Harga emas 5 gram: Rp 13,Media (Detik),neutral
000 Harga emas 10 gram: Rp 26,Media (Detik),neutral
000 Harga emas 25 gram: Rp 65,Media (Detik),neutral
000 Harga emas 50 gram: Rp 130,Media (Detik),neutral
000 Harga emas 100 gram: Rp 261,Media (Detik),neutral
000 Harga emas 250 gram: Rp 653,Media (Detik),neutral
000 Harga emas 500 gram: Rp 1,Media (Detik),neutral
"000 Demikian rincian harga emas hari ini keluaran Antam mulai dari 0,5 gram hingga 1",Media (Detik),neutral
"000 gram, Selasa (22/6/2026)",Media (Detik),neutral
Nilai tukar dolar Amerika Serikat terhadap rupiah menjadi salah satu indikator ekonomi yang banyak diperhatikan masyarakat,Media (Detik),neutral
"Pergerakan kurs ini dapat memengaruhi berbagai sektor, mulai dari harga barang impor, biaya perjalanan luar negeri, hingga kondisi ekonomi secara umum",Media (Detik),neutral
"Pada Senin, 9 Maret 2026, nilai tukar rupiah terhadap dolar AS masih berada di kisaran Rp 17",Media (Detik),neutral
Angka ini menunjukkan bahwa rupiah masih berada dalam tekanan setelah mengalami pelemahan beberapa waktu terakhir,Media (Detik),neutral
Kondisi tersebut dipengaruhi oleh berbagai faktor global maupun domestik yang memengaruhi pasar keuangan,Media (Detik),neutral
Berikut informasi mengenai kurs dolar terhadap rupiah hari ini serta faktor-faktor yang membuat rupiah mengalami pelemahan,Media (Detik),neutral
"SCROLL TO CONTINUE WITH CONTENT  Berdasarkan data Bank Indonesia, kurs dolar AS terhadap rupiah pada 9 Maret 2026 berada pada kisaran: Kurs jual adalah harga yang digunakan ketika masyarakat atau pelaku usaha membeli dolar dari bank",Media (Detik),neutral
"Sementara itu, kurs beli merupakan harga yang digunakan bank ketika membeli dolar dari masyarakat",Media (Detik),neutral
"Di sisi lain, data dari Bloomberg menunjukkan bahwa pasangan mata uang USD-IDR berada di level Rp 16",Media (Detik),neutral
961 per dolar AS pada 9 Maret 2026 pukul 02,Media (Detik),neutral
58 EDT (Eastern Daylight Time),Media (Detik),neutral
"Nilai tersebut tercatat naik sekitar 36 poin atau 0,21 persen, yang menunjukkan pelemahan rupiah terhadap dolar",Media (Detik),neutral
Laporan Bloomberg juga menyebut rupiah sempat melemah hingga sekitar Rp 17,Media (Detik),neutral
015 per dolar AS pada perdagangan Senin,Media (Detik),neutral
Level ini bahkan melampaui titik terendah sebelumnya yang tercatat pada Januari 2026 dan mendekati level yang pernah terjadi saat krisis finansial Asia,Media (Detik),neutral
"Sebagai gambaran, ini pergerakan nilai rupiah terhadap dolar Amerika Serikat beberapa waktu terakhir: Tak hanya rupiah, indeks saham Indonesia juga mengalami tekanan",Media (Detik),neutral
"Indeks Harga Saham Gabungan (IHSG) dilaporkan turun lebih dari 5 persen sehingga berpotensi memasuki fase bear market , yang mencerminkan meningkatnya kekhawatiran investor terhadap kondisi ekonomi dan arah kebijakan di Indonesia",Media (Detik),neutral
Ada beberapa faktor yang menyebabkan nilai tukar rupiah mengalami tekanan dalam beberapa waktu terakhir,Media (Detik),neutral
"Pertama adalah meningkatnya ketegangan geopolitik global, terutama konflik di kawasan Timur Tengah",Media (Detik),neutral
Konflik tersebut membuat investor lebih berhati-hati dan cenderung memindahkan dana mereka ke aset yang dianggap lebih aman seperti dolar AS,Media (Detik),neutral
"Kondisi ini membuat permintaan terhadap dolar meningkat sehingga mata uang negara berkembang, termasuk rupiah, mengalami pelemahan",Media (Detik),neutral
Faktor kedua adalah kekhawatiran investor terhadap kondisi ekonomi dan kebijakan fiskal Indonesia,Media (Detik),neutral
Dalam laporan Bloomberg disebutkan bahwa rupiah telah mengalami tekanan selama beberapa bulan karena investor mulai mempertanyakan prospek fiskal serta arah kebijakan ekonomi Indonesia ke depan,Media (Detik),neutral
Ketidakpastian ini membuat arus modal asing menjadi lebih berhati-hati,Media (Detik),neutral
"Selain itu, kenaikan inflasi domestik juga menjadi salah satu faktor yang menekan nilai tukar rupiah",Media (Detik),neutral
"Data dari Trading Economics menunjukkan bahwa inflasi tahunan Indonesia pada Februari 2026 mencapai 4,76 persen, meningkat dari 3,55 persen pada bulan sebelumnya",Media (Detik),neutral
"Angka ini bahkan melampaui target inflasi bank sentral yang berada pada kisaran 1,5-3,5 persen",Media (Detik),neutral
"Kenaikan inflasi tersebut terjadi karena berbagai komponen harga mengalami peningkatan, terutama pada sektor makanan, perumahan, pakaian, serta beberapa layanan konsumsi lainnya",Media (Detik),neutral
Kondisi ini membuat tekanan terhadap nilai tukar rupiah semakin besar karena inflasi yang meningkat dapat mengurangi daya beli mata uang domestik,Media (Detik),neutral
Nilai tukar 1 dolar AS terhadap rupiah pada 9 Maret 2026 berada di kisaran Rp 16,Media (Detik),neutral
000 per USD berdasarkan data Bank Indonesia dan Bloomberg,Media (Detik),neutral
"Pergerakan ini dipengaruhi oleh berbagai faktor seperti ketegangan geopolitik global, kekhawatiran investor terhadap kondisi ekonomi Indonesia, serta meningkatnya inflasi domestik",Media (Detik),neutral
"Karena itu, perkembangan kurs rupiah akan terus menjadi perhatian karena dapat berdampak pada stabilitas ekonomi, harga barang, serta biaya hidup masyarakat",Media (Detik),neutral
"Artikel ini ditulis oleh Shakti Brammaditto Widya Fachrezzy peserta Program MagangHub Bersertifikat dari Kemnaker di detikcomNilai tukar rupiah terhadap dolar Amerika Serikat (AS) kembali menjadi sorotan publik, khususnya pada hari ini, Selasa, 20 Januari 2026",Media (Detik),neutral
"Kondisi ini kerap diperhatikan oleh pelaku usaha, investor, hingga masyarakat umum",Media (Detik),neutral
"Lalu, berapa sebenarnya nilai 1 dolar AS jika dirupiahkan hari ini? Mengacu pada informasi dari laman Cakrawala University, nilai tukar atau kurs merupakan perbandingan nilai antara dua mata uang yang berbeda",Media (Detik),neutral
"Secara sederhana, kurs bisa diartikan sebagai harga suatu mata uang yang dinyatakan dalam mata uang lainnya",Media (Detik),neutral
"Nilai ini bersifat dinamis dan dapat berubah sewaktu-waktu, tergantung pada berbagai faktor ekonomi",Media (Detik),neutral
"Pergerakan kurs mata uang memiliki peran penting dalam berbagai aktivitas, mulai dari perdagangan internasional, investasi asing, hingga kebutuhan wisatawan yang bepergian ke luar negeri",Media (Detik),neutral
"Bahkan, fluktuasi nilai tukar juga berpengaruh terhadap kondisi ekonomi secara lebih luas",Media (Detik),neutral
"SCROLL TO CONTINUE WITH CONTENT Selain itu, perubahan kurs dapat menentukan daya saing produk ekspor dan impor, memengaruhi keuntungan perusahaan multinasional, serta berdampak langsung pada biaya maupun laba individu atau pelaku usaha yang terlibat dalam transaksi valuta asing",Media (Detik),neutral
"Nah, bagi detikers yang ingin mengetahui nilai tukar USD terhadap rupiah hari ini, simak informasi selengkapnya pada pembahasan berikut ini",Media (Detik),neutral
"Untuk mengetahui nilai tukar rupiah terhadap dolar Amerika Serikat hari ini, terdapat sejumlah data resmi yang bisa dijadikan acuan, salah satunya dari Bloomberg dan Bank Indonesia (BI)",Media (Detik),neutral
"Mengacu pada data yang ditampilkan di laman Bloomberg, nilai tukar rupiah terhadap dolar AS pada Rabu, 21 Januari 2026, tercatat berada di Rp 16",Media (Detik),neutral
965 per dolar AS pada pukul 12,Media (Detik),neutral
"Sebagai pembanding, Bank Indonesia juga merilis kurs resmi dolar AS terhadap rupiah",Media (Detik),neutral
"Berdasarkan informasi dari laman BI, pada Selasa, 20 Januari 2026, nilai kurs jual dolar AS berada di angka Rp 17",Media (Detik),neutral
"065,90, sementara kurs beli tercatat sebesar Rp 16",Media (Detik),neutral
Perbedaan angka kurs tersebut wajar terjadi karena masing-masing lembaga memiliki metode dan waktu pembaruan data yang berbeda,Media (Detik),neutral
"Meski begitu, data ini dapat menjadi gambaran umum bagi masyarakat untuk memantau pergerakan nilai tukar rupiah terhadap dolar AS hari ini",Media (Detik),neutral
"Selain mengacu pada data resmi dari Bank Indonesia, nilai tukar dolar AS terhadap rupiah juga dapat dilihat dari kurs jual dan beli yang ditetapkan oleh sejumlah perbankan nasional",Media (Detik),neutral
Berdasarkan pembaruan data dari laman resmi masing-masing bank pada pukul 13,Media (Detik),neutral
"24 WIB, beberapa bank yang menjadi acuan antara lain BI, Bank Rakyat Indonesia (BRI), Bank Tabungan Negara (BTN), Bank Negara Indonesia (BNI), Bank Central Asia (BCA), Bank Mandiri, hingga Bank Mega",Media (Detik),neutral
Adapun rincian kurs jual dan beli USD terhadap rupiah di masing-masing perbankan tersebut dapat disimak pada daftar berikut ini,Media (Detik),neutral
"Perlu diketahui, nilai tukar yang tercantum di atas dapat berubah sewaktu-waktu seiring dengan pergerakan kurs yang terjadi setiap saat",Media (Detik),neutral
"Oleh karena itu, untuk mendapatkan informasi kurs dolar AS secara real-time, masyarakat disarankan mengecek langsung melalui laman resmi perbankan atau mendatangi kantor bank terdekat",Media (Detik),neutral
Pelemahan nilai tukar rupiah tidak terjadi tanpa sebab,Media (Detik),neutral
Kondisi ini dipengaruhi oleh kombinasi faktor global (eksternal) dan faktor domestik (internal) yang saling berkaitan,Media (Detik),neutral
Sejumlah pengamat ekonomi menilai tekanan dari luar negeri hingga dinamika ekonomi dalam negeri menjadi pemicu utama melemahnya rupiah terhadap dolar Amerika Serikat,Media (Detik),neutral
"Berikut sejumlah faktor yang memengaruhi pelemahan nilai tukar rupiah! Dikutip dari laman resmi Universitas Airlangga, Pakar Ekonomi Fakultas Ekonomi dan Bisnis (FEB) UNAIR, Prof Dr Imron Mawardi S P M Si, menyebut kebijakan tarif yang diterapkan Presiden Amerika Serikat Donald Trump menimbulkan ketidakpastian di pasar global",Media (Detik),neutral
"Kebijakan tersebut berdampak pada stabilitas ekonomi dunia dan pasar keuangan internasional, sehingga menekan mata uang negara berkembang, termasuk rupiah",Media (Detik),neutral
"Ketegangan geopolitik global seperti konflik Rusia-Ukraina, ketidakstabilan di Timur Tengah, hingga persaingan dagang antara Amerika Serikat dan Tiongkok membuat investor global semakin waspada",Media (Detik),neutral
"Dalam kondisi tidak pasti, investor cenderung beralih ke aset aman (safe haven) seperti dolar AS",Media (Detik),neutral
"Akibatnya, permintaan dolar meningkat dan nilai tukar rupiah ikut tertekan",Media (Detik),negative
Perekonomian Indonesia masih sangat bergantung pada ekspor komoditas dan impor berbagai kebutuhan strategis,Media (Detik),neutral
"Ketika kondisi ekonomi global terganggu atau harga komoditas dunia menurun, kinerja ekspor ikut terdampak",Media (Detik),neutral
Situasi ini membuat nilai tukar rupiah menjadi lebih rentan terhadap gejolak eksternal,Media (Detik),neutral
"Masih mengacu pada penjelasan Prof Imron Mawardi dari Universitas Airlangga, ketidakstabilan kebijakan ekonomi serta fluktuasi harga komoditas di dalam negeri dapat menurunkan kepercayaan investor",Media (Detik),neutral
"Ketika investor memilih menarik dananya atau menunda investasi, tekanan terhadap nilai tukar rupiah pun semakin besar",Media (Detik),neutral
"Dikutip dari laman Fakultas Ekonomi dan Bisnis Universitas Muhammadiyah Metro, turunnya harga bahan baku di pasar internasional memberikan tekanan besar terhadap kinerja ekspor Indonesia",Media (Detik),neutral
Kondisi ini memperburuk neraca perdagangan dan pada akhirnya berdampak pada melemahnya nilai tukar rupiah,Media (Detik),neutral
Nilai impor yang lebih besar dibandingkan ekspor meningkatkan kebutuhan dolar AS sebagai alat pembayaran,Media (Detik),neutral
"Selain itu, tingginya impor bahan bakar minyak (BBM) di tengah kenaikan harga minyak dunia turut memperbesar beban subsidi pemerintah",Media (Detik),neutral
Besarnya kebutuhan dolar untuk impor inilah yang memberi tekanan tambahan terhadap rupiah,Media (Detik),neutral
"Berdasarkan informasi yang dihimpun dari laman Telkom University, pelemahan rupiah membawa sejumlah dampak nyata terhadap perekonomian nasional, baik bagi pelaku usaha maupun masyarakat umum",Media (Detik),neutral
Berikut beberapa dampaknya: Melemahnya rupiah menyebabkan harga barang impor otomatis mengalami kenaikan,Media (Detik),neutral
"Kondisi ini sangat terasa pada sektor energi seperti BBM, gas, dan listrik yang masih bergantung pada komponen impor",Media (Detik),neutral
"Selain itu, industri yang menggunakan bahan baku dari luar negeri juga harus menanggung biaya produksi yang lebih tinggi",Media (Detik),neutral
"Kenaikan biaya tersebut berpotensi memicu inflasi cost-push, yakni inflasi yang terjadi akibat meningkatnya biaya produksi dan akhirnya dibebankan kepada konsumen",Media (Detik),neutral
Industri manufaktur menjadi salah satu sektor yang paling terdampak pelemahan rupiah karena masih bergantung pada bahan baku impor,Media (Detik),neutral
Lonjakan biaya produksi membuat pelaku usaha kesulitan menjaga efisiensi dan daya saing produk,Media (Detik),neutral
"Di sisi lain, pelaku Usaha Mikro, Kecil, dan Menengah (UMKM) juga menghadapi tekanan besar akibat naiknya harga bahan baku, biaya logistik, dan distribusi",Media (Detik),neutral
Kondisi ini membuat UMKM harus bekerja lebih keras untuk bertahan di tengah ketidakpastian ekonomi,Media (Detik),neutral
Pelemahan rupiah juga berdampak pada sektor keuangan,Media (Detik),neutral
"Ketika terjadi ketidakpastian moneter, investor asing cenderung menarik dananya dari pasar saham",Media (Detik),neutral
Aksi jual tersebut dapat menekan Indeks Harga Saham Gabungan (IHSG) dan memicu gejolak di pasar modal,Media (Detik),neutral
"Dalam jangka panjang, kondisi ini membuat iklim investasi menjadi lebih berhati-hati dan berpotensi menahan laju pertumbuhan ekonomi nasional",Media (Detik),neutral
Demikian ulasan mengenai lemahnya nilai tukar rupiah dan gambaran nilai 1 dolar Amerika Serikat saat dirupiahkan hari ini,Media (Detik),neutral
Semoga informasi ini bermanfaat dan menambah wawasan bagi detikers,Media (Detik),positive
"Artikel ini ditulis oleh Angely Rahma, peserta Program MagangHub Bersertifikat dari Kemnaker di detikcom",Media (Detik),neutral
Nilai tukar dolar Amerika Serikat (AS) menguat terhadap rupiah pada perdagangan pagi ini,Media (Detik),neutral
Penguatan membawa mata uang Paman Sam itu berada di level Rp 17,Media (Detik),neutral
"Dikutip dari data Bloomberg, Selasa (23/6/2026), sekitar pukul 09",Media (Detik),neutral
10 WIB nilai tukar dolar AS berada di level Rp 17,Media (Detik),neutral
"871 atau menguat 28 poin (0,16%)",Media (Detik),neutral
"Sementara itu, pergerakan dolar AS terhadap sejumlah mata uang lainnya terpantau beragam",Media (Detik),neutral
"Dolar AS menguat terhadap yen Jepang, dolar Kanada dan dolar Hong Kong, namun melemah terhadap franc Swiss dan won Korea",Media (Detik),neutral
"SCROLL TO CONTINUE WITH CONTENT  Secara rinci, mata uang Paman Sam menguat 0,01% terhadap yen Jepang",Media (Detik),neutral
"Dolar AS juga menguat 0,02% terhadap dolar Kanada dan menguat 0,01% terhadap dolar Hong Kong",Media (Detik),neutral
"Di sisi lain, dolar AS melemah 0,02% terhadap franc Swiss",Media (Detik),neutral
"Dolar AS juga melemah 0,10% terhadap won Korea",Media (Detik),neutral
"Pelarian Michael Steven, tersangka kasus dugaan tindak pidana pencucian uang dan gagal bayar PT Asuransi Jiwa Kresna (Kresna Life) itu berakhir sudah",Media (Detik),neutral
"Setelah hampir tiga tahun melarikan diri, bos Kresna Life itu akhirnya ditangkap di Maroko",Media (Detik),neutral
Michael Steven diketahui melarikan diri sejak September 2023 silam,Media (Detik),neutral
Namanya masuk dalam daftar Red Notice Interpol sejak November 2025,Media (Detik),neutral
Michael Steven berhasil dipulangkan ke tanah air setelah ditangkap oleh otoritas keamanan di Maroko,Media (Detik),neutral
Proses pemulangan dilakukan melalui mekanisme ekstradisi,Media (Detik),neutral
SCROLL TO CONTINUE WITH CONTENT Langkah ini menjadi babak balu dalam penyelesaian megaproyek gagal bayar yang merugikan ribuan nasabah hingga triliunan rupiah,Media (Detik),neutral
Skandal Kresna Life ini mulai dibidik Bareskrim Polri sejak 2020 silam,Media (Detik),neutral
Michael merupakan satu dari lima tersangka dalam perkara yang ditangani Direktorat Tindak Pidana Ekonomi Khusus Bareskrim Polri,Media (Detik),neutral
"Dalam kasus tersebut, para tersangka diduga menginvestasikan premi produk asuransi K-LITA (Kresna Link Investa) dan PIK (Protekto Investa Kresna) ke saham atau efek terafiliasi melebihi ketentuan yang ditetapkan Otoritas Jasa Keuangan (OJK)",Media (Detik),neutral
"Selain itu, para tersangka juga diduga tidak menyampaikan perkembangan investasi maupun nilai aktiva bersih kepada pemegang polis",Media (Detik),neutral
