teks,sumber,sentimen
"Akibatnya, investor disebut mengalami kerugian sekitar Rp337,4 miliar",Media (Detik),neutral
"Dalam kasus itu, para tersangka dijerat Pasal 103 juncto Pasal 30 Undang-Undang Nomor 8 Tahun 1995 tentang Pasar Modal, Pasal 378 dan Pasal 372 KUHP, serta Pasal 3, 4, dan 5 Undang-Undang Nomor 8 Tahun 2010 tentang TPPU",Media (Detik),neutral
"Sebelumnya, Bareskrim Polri telah menetapkan Direktur Utama Kresna Life, KS, sebagai tersangka dalam kasus dugaan tindak pidana pencucian uang (TPPU) dan penggelapan asuransi",Media (Detik),neutral
"""Berdasarkan serangkaian hasil penyidikan, penyidik telah menemukan adanya dugaan tindak pidana penggelapan pengasuransian dan TPPU atas gagal bayar polis para nasabah yang dilakukan tersangka dengan inisial KS selaku Dirut PT Kresna Life,"" kata Kabag Penum Divhumas Polri Kombes Nurul Azizah saat itu, kepada wartawan, Selasa (20/9/2022)",Media (Detik),neutral
"Michael juga menjadi sosok penting di balik Kresna Life, perusahaan asuransi yang sempat menjadi sorotan karena gagal membayar klaim pemegang polis",Media (Detik),neutral
"Dugaan gagal bayar asuransi ini mencapai 8 ribu lebih pemegang polis dengan nilai kewajiban yang belum dibayarkan sekitar Rp 6,4 triliun",Media (Detik),neutral
"Michael Steven, tersangka kasus gagal bayar PT Asuransi Jiwa Kresna (Kresna Life) yang melarikan diri ke luar negeri akhirnya ditangkap di Maroko",Media (Detik),neutral
Ia merupakan buron Interpol dengan status Red Notice,Media (Detik),neutral
"Sekretaris NCB Interpol Divhubinter Polri, Brigjen Untung Widyatmoko, mengatakan Michael Steven ditangkap oleh Kepolisian Maroko pada 12 Maret 2026 berdasarkan permintaan Set NCB Interpol Indonesia",Media (Detik),neutral
"Untung mengatakan keberhasilan penangkapan Michael ini merupakan hasil kerja sama Divhubinter Polri dengan Kementerian Hukum RI, Kementerian Luar Negeri RI, Badan Intelijen Negara serta otoritas Kerajaan Maroko",Media (Detik),neutral
Michael Steven sendiri masuk dalam daftar buron Interpol sejak November 2025 dengan status Red Notice,Media (Detik),neutral
"Michael Steven sendiri telah tiba di Indonesia setelah diekstadisi oleh Kerajaan Maroko, pada Minggu, 21 Juni 2026 kemarin",Media (Detik),neutral
Proses ekstradisi tersebut dilaksanakan setelah Pemerintah Kerajaan Maroko kemudian mengabulkan permohonan ekstradisi yang diajukan Pemerintah Indonesia pada 12 Juni 2026,Media (Detik),neutral
"Proses serah terima tersangka dilaksanakan pada 20 Juni 2026 di Maroko, sebelum akhirnya tiba di Indonesia pada Minggu, 21 Juni 2026",Media (Detik),neutral
Brigjen Untung mengatakan keberhasilan ekstradisi ini menjadi wujud komitmen Polri dalam memperkuat kerja sama internasional serta menindak tegas pelaku kejahatan yang berupaya melarikan diri ke luar negeri,Media (Detik),neutral
"""Keberhasilan ekstradisi ini menunjukkan efektivitas kerja sama internasional Polri melalui jaringan Interpol dan dukungan berbagai instansi terkait",Media (Detik),neutral
"Polri berkomitmen untuk terus memburu serta membawa kembali para buronan yang melarikan diri ke luar negeri guna mempertanggungjawabkan perbuatannya di hadapan hukum,"" ujar Untung Widyatmoko, dalam keterangannya, Senin (22/6/2026)",Media (Detik),neutral
"Saksikan Live DetikPagi: Nilai tukar rupiah terhadap mata uang asing, termasuk dollar Amerika Serikat, menjadi salah satu indikator penting dalam perekonomian Indonesia",Media (Detik),neutral
"Setiap harinya, nilai tukar rupiah bisa berubah",Media (Detik),neutral
Perubahan nilai tukar Rupiah terhadap uang asing ini dipengaruhi berbagai faktor,Media (Detik),neutral
"Salah satunya adalah kekuatan pasar, yakni penawaran dan valuta asing",Media (Detik),neutral
"Lantas, 1 dollar berapa rupiah hari ini? SCROLL TO CONTINUE WITH CONTENT Berikut di bawah ini detikSulsel merangkum informasi kurs dollar AS atau USD hari ini di sejumlah bank besar Indonesia",Media (Detik),neutral
"Yuk, dicek! Berdasarkan pantauan detikSulsel pada laman resmi BI pukul 12",Media (Detik),neutral
"11 Wita, kurs jual 1 USD hari ini, Senin 21 April sebesar Rp 16",Media (Detik),neutral
"Sementara itu, untuk kurs beli 1 dollar Amerika berada di angka Rp 16",Media (Detik),neutral
Berikut adalah data kurs jual dan kurs beli di sejumlah bank besar Indonesia yang dirangkum oleh detikSulsel pukul 12,Media (Detik),neutral
14 Wita sesuai pembaharuan terakhir masing-masing bank,Media (Detik),neutral
"Untuk diketahui, kurs jual adalah nilai tukar yang digunakan jika detikers hendak menukarkan rupiah dengan mata uang asing",Media (Detik),neutral
Sementara kurs beli adalah nilai tukar yang digunakan saat menukarkan mata uang asing dengan rupiah,Media (Detik),neutral
"Mengutip laman resminya, kurs beli bank BRI terhadap 1 dollar Amerika hari ini, Senin 21 April 2025 senilai Rp 16",Media (Detik),neutral
Sementara kurs jualnya berada di harga Rp 16,Media (Detik),neutral
Data ini diambil setelah pembaharuan terakhir bank BRI pada pukul 10,Media (Detik),neutral
"Untuk lebih jelas, berikut ini rinciannya: Menurut data yang dirilis di laman BNI, kurs beli 1 USD hari ini, Senin 21 April 2025 berada di level Rp 16",Media (Detik),neutral
"Untuk kurs jual, BNI menetapkan nilai sebesar Rp 16",Media (Detik),neutral
Informasi ini didapatkan setelah pembaruan terakhirnya pada pukul 10,Media (Detik),neutral
"Untuk lebih jelas, berikut rinciannya: Mengacu pada informasi dari situs resmi Bank Mandiri, nilai kurs beli rupiah untuk 1 dollar Amerika hari ini, Senin 21 April 2025 berada di angka Rp 16",Media (Detik),neutral
Sementara kurs jual berada pada posisi Rp 16,Media (Detik),neutral
Nominal ini diambil berdasarkan update terakhirnya pada pukul 09,Media (Detik),neutral
"Sementara itu, disadur dari website resmi BCA, kurs beli rupiah untuk 1 USD hari ini, Senin 21 April 2025 ada di level Rp 16",Media (Detik),neutral
Adapun kurs jualnya sebesar Rp 16,Media (Detik),neutral
Data ini diambil berdasarkan pembaruan terakhirnya pukul 08,Media (Detik),neutral
Terdapat beberapa faktor yang menjadi penyebab berubahnya kurs rupiah,Media (Detik),neutral
"Mulai dari posisi neraca pembayaran, tingkat inflasi, dan tingkat pendapatan nasional",Media (Detik),neutral
"Berikut ini penjelasannya sebagaimana yang dikutip dari buku ""Membuka Cakrawala Ekonomi"" karya Imamul Arifin dan Giana Hadi W",Media (Detik),neutral
"Ketika harga-harga di dalam negeri naik (inflasi), maka hal tersebut akan mempengaruhi nilai tukar mata uang suatu negara",Media (Detik),neutral
"Sebab daya beli mata uang yang menurun, maka nilai tukarnya pun ikut melemah",Media (Detik),negative
"Sebaliknya, jika daya beli mata uang meningkat, maka nilai tukar mata uang tersebut akan menguat atau mengalami apresiasi (penguatan nilai tukar) secara proporsional",Media (Detik),neutral
Kenaikan suku bunga dari simpanan suatu mata uang domestik dapat mendorong penguatan nilai tukar mata uang,Media (Detik),neutral
"Sebab, semakin tinggi bunga yang ditawarkan, semakin menarik bagi orang untuk menyimpan asetnya dalam mata uang tersebut, sehingga nilai tukarnya ikut terapresiasi",Media (Detik),positive
"Nah, demikianlah informasi tentang nilai tukar Rupiah terhadap Dollar hari ini",Media (Detik),neutral
Semoga bermanfaat ya!Menteri Keuangan Purbaya Yudhi Sadewa mulai hari ini akan membantu Bank Indonesia (BI) untuk mengendalikan tekanan nilai tukar rupiah terhadap dolar Amerika Serikat (AS),Media (Detik),positive
Langkah itu diambil usai rupiah babak belur ke level Rp 17,Media (Detik),neutral
"""Kita bisa akan mulai membantu besok (hari ini) mungkin,"" kata Purbaya di kantornya, Jakarta Pusat, Selasa kemarin",Media (Detik),neutral
Purbaya menjelaskan upayanya membantu stabilitas nilai tukar rupiah yakni dengan memanfaatkan skema intervensi di pasar surat berharga atau bond market,Media (Detik),neutral
"SCROLL TO CONTINUE WITH CONTENT ""Dengan masuk ke bond market, itu yang Bond Stabilization Fund (BSF), tetapi belum fund semuanya",Media (Detik),neutral
Kita aktifkan di instrumen yang kita punya di sini,Media (Detik),neutral
"Besok mulai jalan,"" ucap Purbaya",Media (Detik),neutral
Purbaya mengklaim kas pemerintah saat ini sangat berlimpah untuk membantu BI melakukan intervensi tekanan rupiah di pasar obligasi,Media (Detik),positive
"""Kita akan coba membantu nilai tukar, kita membantu BI lah sedikit-sedikit kalau bisa",Media (Detik),neutral
"Kita masih banyak uang nganggur, kita intervention bond market supaya yield-nya nggak naik terlalu tinggi,"" ucap Purbaya",Media (Detik),neutral
"""Kalau yield-nya naik terlalu tinggi artinya apa? Asing yang pegang bond di sini kan ada capital loss, dia akan keluar",Media (Detik),negative
"Jadi kita kendalikan itu supaya asing nggak keluar, atau masuk malah kalau yield-nya membaik sehingga rupiah akan menguat",Media (Detik),negative
"Kita akan masuk mulai besok,"" tambahnya",Media (Detik),neutral
"Purbaya sampai menggelar rapat dadakan dengan jajarannya di lobby Kementerian Keuangan (Kemenkeu), Jakarta Pusat, Selasa (12/5)",Media (Detik),neutral
Rapat itu membahas strategi untuk membantu BI mengendalikan tekanan nilai tukar rupiah terhadap dolar AS,Media (Detik),neutral
"""Iya kira-kira itu,"" kata Purbaya di kantornya, Jakarta Pusat, Selasa kemarin",Media (Detik),neutral
Ia ditanya apakah rapat terkait langkah pemerintah untuk membantu mengendalikan tekanan nilai tukar rupiah,Media (Detik),neutral
"Terpantau pejabat yang ada di lokasi di antaranya Sekretaris Jenderal Kemenkeu Robert Leonard Marbun, Direktur Jenderal Pengelolaan Pembiayaan dan Risiko Suminto, Direktur Jenderal Perbendaharaan Astera Primanto Bhakti, hingga Plh Direktur Jenderal Stabilitas Ekonomi dan Fiskal Ferry Ardiyanto",Media (Detik),neutral
"Sayangnya, Purbaya belum mau mengungkapkan strategi apa yang akan dijalankan pemerintah",Media (Detik),neutral
Bocorannya yakni memanfaatkan skema intervensi di pasar surat berharga atau bond market,Media (Detik),neutral
"""Strateginya masih rahasia, kalau dikasih tahu nanti musuh tahu",Media (Detik),negative
"Tapi kita akan coba melihat apakah kita bisa membantu stabilitas di pasar bond, nanti pelan-pelan ke pasar nilai tukar juga,"" ucap Purbaya",Media (Detik),neutral
Pergerakan pasar valuta asing global terus mengalami dinamika yang cukup signifikan sejak awal pekan,Media (Detik),neutral
"Situasi ini memicu pertanyaan di kalangan pelaku usaha mengenai pergerakan nilai tukar Dolar AS ke Rupiah hari ini, 19 Mei 2026, berapa nilai riilnya di tengah ketidakpastian pasar finansial global yang sedang bergejolak",Media (Detik),neutral
"Fluktuasi ini tentu berdampak langsung pada berbagai sektor ekonomi domestik, mulai dari penyesuaian biaya logistik perdagangan internasional hingga pergeseran harga barang pokok di tingkat konsumen",Media (Detik),neutral
"Oleh karena itu, memantau pergerakan nilai mata uang secara berkala menjadi langkah mitigasi yang penting untuk menjaga stabilitas finansial",Media (Detik),neutral
"Jadi, hari ini 1 dolar Amerika Serikat berapa rupiah? Simak konversinya dan harga jual-belinya di Bank Indonesia lewat uraian di bawah ini! SCROLL TO CONTINUE WITH CONTENT  Dirujuk dari data interbank global di laman Bloomberg, indeks dolar AS terhadap rupiah hari ini, Selasa (19/5/2026) pukul 09",Media (Detik),neutral
55 WIB berada di posisi Rp 17,Media (Detik),neutral
"Angka ini mencatatkan kenaikan sebesar 50,00 poin atau mengalami penguatan sebesar 0,28% dibandingkan penutupan sebelumnya di angka 17",Media (Detik),neutral
"Itu artinya, rupiah kembali melemah",Media (Detik),neutral
"Jika melihat kekuatan dolar AS terhadap mata uang di kawasan Asia Tenggara (ASEAN) lainnya, keperkasaan mata uang Negeri Paman Sam ini juga menekan nilai tukar regional",Media (Detik),neutral
"Sebagai perbandingan, ini konversi dolar AS ke ringgit Malaysia dan baht Thailand: Berdasarkan data resmi dari Kurs Transaksi Bank Indonesia (BI) pada pukul 09",Media (Detik),neutral
"50 WIB, berikut adalah rincian harga jual dan harga beli berbagai mata uang asing terhadap Rupiah",Media (Detik),neutral
"Akademisi dari Fakultas Ekonomika dan Bisnis (FEB) UGM, Rijadh Djatu Winardi, menjelaskan bahwa pelemahan Rupiah yang terjadi saat ini merupakan akumulasi dari berbagai tekanan global dan domestik yang terjadi bersamaan",Media (Detik),neutral
"Sebuah fenomena yang kerap disebut sebagai ""perfect storm",Media (Detik),neutral
""" Dari sisi eksternal, ketegangan geopolitik yang memanas di wilayah Timur Tengah memicu ketidakpastian ekonomi dunia",Media (Detik),neutral
"Kondisi tersebut mendorong para investor global untuk menarik modal mereka dari aset berisiko dan mengalihkannya ke aset aman utama (safe haven), yaitu Dolar AS",Media (Detik),neutral
"Sementara dari sisi domestik, tekanan diperberat oleh faktor musiman, seperti tingginya permintaan valuta asing untuk pembayaran dividen kepada investor asing serta evaluasi pasar terhadap keterbatasan ruang fiskal negara",Media (Detik),neutral
"""Kombinasi dari sisi global dan sisi domestik inilah yang menurut saya membuat pelemahan rupiah terasa lebih tajam,"" ujarnya dilansir situs resmi UGM, Minggu (10/5/2026)",Media (Detik),neutral
Dampak dari pelemahan nilai tukar ini diproyeksikan akan langsung merembet ke sektor riil melalui inflasi impor (imported inflation),Media (Detik),neutral
"Perusahaan yang mengandalkan bahan baku impor harus menghadapi lonjakan biaya produksi, yang dalam jangka waktu satu hingga beberapa bulan ke depan berpotensi dibebankan kepada konsumen dalam bentuk kenaikan harga kebutuhan pokok, biaya transportasi, serta produk kesehatan",Media (Detik),neutral
"Menghadapi situasi dilematis ini, Bank Indonesia terus melakukan intervensi di pasar valuta asing guna menjaga stabilitas volatilitas Rupiah tanpa mengorbankan momentum pertumbuhan ekonomi domestik",Media (Detik),neutral
Penguatan instrumen keuangan seperti surat berharga juga dioptimalkan untuk menarik kembali aliran modal masuk,Media (Detik),neutral
"Di tingkat makro, pengetatan disiplin belanja negara dan penguatan sektor pangan serta energi domestik menjadi kunci utama untuk mengurangi ketergantungan terhadap barang impor",Media (Detik),neutral
Langkah ini diharapkan mampu mempertebal daya tahan ekonomi nasional dari guncangan eksternal yang berkelanjutan,Media (Detik),neutral
"Nah, itulah sekilas mengenai nilai tukar dolar AS ke rupiah hari ini 19 Mei 2026",Media (Detik),neutral
"Semoga menjawab pertanyaan detikers, ya! Artikel ini ditulis oleh Shakti Brammaditto Widya Fachrezzy peserta Program MagangHub Bersertifikat dari Kemnaker di detikcom  Jakarta - Nilai tukar rupiah kian tertekan oleh dolar AS pada perdagangan hari ini, Senin (8/6/2026)",Media (Detik),neutral
Nilai tukar dolar AS per hari ini mencapai level Rp 18,Media (Detik),neutral
Ini sebenarnya 19 juta loker apa inflasi sapme 19 ribu per 1 dolar🙌,Publik (Instagram),neutral
Coba mau pidato apa lagi,Publik (Instagram),negative
Kita gak pake dollar kok 😂,Publik (Instagram),negative
"Aman aja, gw orang desa ga terdampak kok 🙌",Publik (Instagram),negative
"Good Job pak Wowo,,ayo sedikit lagi tembus 20 rb...sungguh prestasi yang mebagong kan",Publik (Instagram),positive
Hancur x lah kok cepat banget turunnya rupiah siap2 harga tempe tahu naik.,Publik (Instagram),negative
Pmrintah ga bs krj 😂,Publik (Instagram),negative
"Bung bowo pernah berkata""jangan takut dolar yg makin menguat,krn msyarakat d desa semua nya pakai rupiah....",Publik (Instagram),neutral
Jadi kan BULAN AGUSTUS,Publik (Instagram),neutral
"terlemah SE Asia dan pemerintah masih santuyyy,yang penting selama Purbaya masih bisa tersenyum 😢",Publik (Instagram),positive
Log into like or comment.,Publik (Instagram),neutral
"folkjogVerified2wNilai tukar Rupiah terhadap Dolar Amerika Serikat (AS) kembali mengalami depresiasi yang cukup tajam. Berdasarkan data pasar terbaru yang tercatat pada Kamis (4/6) pukul 00.01 UTC, kurs Dolar AS telah mencapai level baru, yaitu Rp18.012,65 per dolar.Setelah sempat bergerak naik turun di rentang Rp17.300–Rp17.500 per dolar pada awal Mei, tekanan terhadap mata uang Indonesia terus berlanjut. Kondisi tersebut menyebabkan Rupiah melemah secara bertahap hingga akhirnya menembus level Rp18.000 per dolar pada awal Juni..Follow@folkjogben reti konten seru liyane..#folkjog#jogja#rupiahlemah",Publik (Instagram),neutral
"By continuing, you agree to Instagram'sTerms of UseandPrivacy Policy.",Publik (Instagram),neutral
Hidup Wowo 👏👏👏😂,Publik (Instagram),negative
Oke gass oke gass,Publik (Instagram),neutral
Dan sekarang akan semakin banyak narasi air WC..,Publik (Instagram),negative
"98 jadi perna pembantu dan , 2026 tampil jadi pemeran utama",Publik (Instagram),neutral
Saya cuma bisa melototi aja,Publik (Instagram),negative
Ini kabar baik atau musibah sih Subhanallah,Publik (Instagram),positive
Otw 20.000 😭,Publik (Instagram),neutral
"Jogetin shaaay , kata si gemoy 😂",Publik (Instagram),neutral
Pemuja 02 lagi ngapain yak,Publik (Instagram),negative
EnglishDown chevron iconAfrikaansالعربيةČeštinaDanskDeutschΕλληνικάEnglishEnglish (UK)Español (España)EspañolفارسیSuomiFrançaisעבריתBahasa IndonesiaItaliano日本語한국어Bahasa MelayuNorskNederlandsPolskiPortuguês (Brasil)Português (Portugal)РусскийSvenskaภาษาไทยFilipinoTürkçe中文(简体)中文(台灣)বাংলাગુજરાતીहिन्दीHrvatskiMagyarಕನ್ನಡമലയാളംमराठीनेपालीਪੰਜਾਬੀසිංහලSlovenčinaதமிழ்తెలుగుاردوTiếng Việt中文(香港)БългарскиFrançais (Canada)RomânăСрпскиУкраїнська,Publik (Instagram),neutral
"MENUJU INDONESIA CEMAS, LEMAS, TEWAAASSS",Publik (Instagram),negative
Prabowo anjg tol0l gak becus jadi presiden,Publik (Instagram),negative
Saat nya one piece masuk Konoha lg🔥🔥🔥,Publik (Instagram),neutral
aku suka mbg ❤️,Publik (Instagram),positive
Genapin 20 aja nanggung🔥,Publik (Instagram),negative
"Almarhum bapak SOEHARTO menangis melihat keadaan Indonesia yg di buat mantan menantunya...ntar klarifikasi nya,di desa dan kota kan gak pakek dolar...bener sesuai prediksi R1 yg pas habis pemilu 2019...Indonesia akan bubar 2030,dan dia sendiri pelaku nya...",Publik (Instagram),negative
"Nggak ngaruh, yang kesel pasti orang bodoh😋😛",Publik (Instagram),negative
Never miss a post from folkjog,Publik (Instagram),negative
Pokok nya hancur,Publik (Instagram),negative
Mau sampai kapan seperti ini😢😢,Publik (Instagram),negative
"Gimana kalo, kaga beli apapun yang pake dollar",Publik (Instagram),negative
Kok gak demo ?,Publik (Instagram),positive
Baru sekarang kerasa bangett hidup seketar ketir ini,Publik (Instagram),negative
Bj Habibie menangis melihat ini😢,Publik (Instagram),neutral
Yang di kota kalau belanja ke desa jangan pakai dolar ya. Di desa pakai rupiah soalnya,Publik (Instagram),neutral
Ya allah sampai kan lah jadi 25 ribu 1 dolar,Publik (Instagram),neutral
Orang desa gak pake dolar anjek,Publik (Instagram),negative
semoga ancur sekalian,Publik (Instagram),positive
"Ini pelayan2 rakyat yang makan pakai gaji rakyat pada kerja ngk ya?? Kalau ngk bisa, mundur.  Biar digantikan oleh yg lain yg lebih bisa dari lu lu pada",Publik (Instagram),negative
"Ambruknya mata uang disatu negara biasanya akibat "" korupsi, minimnya investor karna tidak ada kepastian hukum , pemerintah sebaiknya evaluasi kinerjanya , jangan selalu nyalahin asing aseng mulu .",Publik (Instagram),negative
Ga di bahas…ketutup sama deden da ditangkap.pokok udah bersih🤭,Publik (Instagram),negative
rakyatnya bahagia ya wooo..... 😢,Publik (Instagram),positive
"tenang, ekonomi kita aman *kata mereka😂",Publik (Instagram),negative
See more posts,Publik (Instagram),neutral
Sebentar lagi harga barang barang dan sembako makin naik,Publik (Instagram),neutral
Didesa malah musim kawin bulan ini mah ..hampir tiap hari kondangan 😂😂,Publik (Instagram),negative
Kita tunggu di 2027 akankah ramalan salah satu paranormal itu akan terbukti & terjadi...akan ada demo besar²an seperti peristiwa 98...apapun yg terjadi doa terbaik buat negri ini... 🤲😭,Publik (Instagram),positive
Asale wee kenopo kok menurun terus,Publik (Instagram),negative
Siap siap aja krisis lebih parah dr thn 98😂😂,Publik (Instagram),negative
"Akhhh... Cuma dollar, aku pegang nya tetap rupiah",Publik (Instagram),negative
"Tenang saja pak prabowo, saya sudah ada disini, kata antek asing😂😂",Publik (Instagram),negative
Sukarno menangis 😂,Publik (Instagram),negative
era jendral tersayang ini banyak banget kejutan nyah idihh ampun lahh wowo,Publik (Instagram),positive
Rakyat indonesia yakin ini pada diem aja?😂,Publik (Instagram),negative
Yg pidato kmrin katax cara ngancurin negara itu gampang tggal ancurin nilai mata uangnya......sampe ini paham kan masa gak paham,Publik (Instagram),negative
Kok pemerintah masih adem ayem y..gk ada solusi kah..😢,Publik (Instagram),negative
Emang sengaja atau gmna sih ini presiden kita 😢,Publik (Instagram),negative
Macan Asia 🔥,Publik (Instagram),neutral
© 2026 Instagram from Meta,Publik (Instagram),neutral
Dan presiden masih asik joget2 aja. Membungkam rakyat,Publik (Instagram),negative
Tenang Rakyat di Desa kan ga pakai Dollar. Gitu kata nya,Publik (Instagram),negative
Sign up for Instagram to stay in the loop.,Publik (Instagram),neutral
"Gak ngaruh, selagi Purbaya senyum aman ajaa😂",Publik (Instagram),positive
Contact Uploading & Non-Users,Publik (Instagram),neutral
Meta in Indonesia,Publik (Instagram),neutral
Wo Prabowo liat ini,Publik (Instagram),negative
Wowo harus tanggung jwb,Publik (Instagram),negative
"Nilai tukar Rupiah terhadap Dolar Amerika Serikat (AS) kembali mengalami depresiasi yang cukup tajam. Berdasarkan data pasar terbaru yang tercatat pada Kamis (4/6) pukul 00.01 UTC, kurs Dolar AS telah mencapai level baru, yaitu Rp18.012,65 per dolar.Setelah sempat bergerak naik turun di rentang Rp17.300–Rp17.500 per dolar pada awal Mei, tekanan terhadap mata uang Indonesia terus berlanjut. Kondisi tersebut menyebabkan Rupiah melemah secara bertahap hingga akhirnya menembus level Rp18.000 per dolar pada awal Juni..Follow@folkjogben reti konten seru liyane..#folkjog#jogja#rupiahlemah",Publik (Instagram),neutral
Akankah negara kita seperti ZIMBABOEE,Publik (Instagram),neutral
Ditagih janjinya untuk lengserkan prabowo jika dollar sampe 18ribu.🔥🔥🔥🔥🔥🔥,Publik (Instagram),negative
"Semua gara"" MBG",Publik (Instagram),negative
Salah pilih presiden sy🤦🤦,Publik (Instagram),negative
"Siaaalllll ... Cepet bgt turunnya .. d era gemoy parah bnerr .. perasaan d era yg lain naik ny sedikit"" doang dan ga cepet",Publik (Instagram),negative
Saya kira mau di targetkan 17.845 sesuai hari kemerdekaan😂😂,Publik (Instagram),neutral
Pemerintah hanya diam tanpa memberikan solusi...hanya bilang masih aman. Apanya yg aman seperti ini pak,Publik (Instagram),negative
Sedikit lagi 20 ribu,Publik (Instagram),neutral
Kata orang2 prabowo semakin hancur rupiah semakin bagus kalau perlu 1 dollar 50 ribu malah makin siip,Publik (Instagram),negative
@prabowoga malu lu liat negara begini wo,Publik (Instagram),negative
Di desa saya udah pake dolar bayar nya,Publik (Instagram),neutral
Bersama Prabowo menunju Indonesia bubar 🔥🙌,Publik (Instagram),negative
"@mhmmd.dho311_“Tamat lah sudah al kisah kami” 😂baru 18 rb blm 19 bang, kan janjinya 19 jt lapangan pekerjaan",Publik (Instagram),negative
Saat nya pakai produk asli indonesia  bhan2 pembuat nya asli indonesia. Tp minyak bensin kan bhna nya impor. 🔥🔥🔥🔥😢😢😢,Publik (Instagram),negative
Terms of Use,Publik (Instagram),neutral
Iya kita gapake dolar tapi pajak naek Mulu daglog garapih cees,Publik (Instagram),negative
Tembusin sampe 50 rb😂,Publik (Instagram),neutral
👏👏👏👏oke gas okevgas .... jogetin ajah 😂😂😂 ....,Publik (Instagram),negative
...yg penting murid2 hrs paham bahasa Perancis🤷‍♂️,Publik (Instagram),negative
Down chevron icon,Publik (Instagram),negative
To the mars 🚀,Publik (Instagram),neutral
Kan kita orang desa yg gak pke dollarsss kakkaks😂,Publik (Instagram),negative
Indonesia mas mana weh,Publik (Instagram),negative
@bemui_officialmasih mau diam2 nih liat kaya gini,Publik (Instagram),negative
lah grafiknya naik itulo kan PRESTASI 🤪😂,Publik (Instagram),positive
Orang kota lagi GK baik2😂,Publik (Instagram),negative
mungkin ini gara gara orang desa gk pake dollar,Publik (Instagram),negative
80tahun merdeka gk ada kemajuan,Publik (Instagram),negative
"cuma pengalihan issue masalah dollar ini ,  kalo kata ternak ternak 02 mah , 😂",Publik (Instagram),negative
